"Quarter","Bank","TotalAssets","StaffExpenses","NetIncome","DepositShare","LoanShare"
"2006Q3","VTB BANK-GEORGIA",473876164.69,7823027,4866724,6.96,15.45
"2006Q3","TBC BANK",907949543.62,12832576,16802605.36,32.33,24.62
"2006Q3","CAPITAL BANK",25320317,890949,611768,0.81,0.73
"2006Q3","BANK OF GEORGIA",844578684,19681213,13895113,22.75,23.39
"2006Q3","PRIVATBANK",21042663,728741,576044,0.29,0.42
"2006Q3","CAUCASUSDEVELOPMENT BANK - GEORGIA",14113117,59143,-19020,0,0.15
"2006Q3","BANK REPUBLIC",373143160.35,5600561,8120648.94,14.7,7.81
"2006Q3","ZIRAAT BANKASI A.S. TBILISI BRANCH",11708250,345417,470477,0.07,0
"2006Q3","KOR STANDARD BANK",113935743.16,1150205,822146.58,1.44,1.9
"2006Q3","SILK ROAD BANK",50536322.96,668695.45,1074243.42,0.6,1.42
"2006Q3","CARTU BANK",264946600,2797079,8613952,1.43,8.51
"2006Q3","BASISBANK",76238428,1486122,1681528,2.56,1.55
"2006Q3","LIBERTY BANK",111482294,7133857,2865481,0.9,1.69
"2006Q3","PROCREDIT BANK",417019990.43,10928865.57,4110815.69,15.17,12.35
"2006Q4","VTB BANK-GEORGIA",470361948.99,10996199,7261324,8.3,19.27
"2006Q4","PRIVATBANK",76202739,1167963,1379998,0.34,0.69
"2006Q4","BASISBANK",78828803.1,2011416,2428404.47,3.45,2.47
"2006Q4","ZIRAAT BANKASI A.S. TBILISI BRANCH",12789773,472512,29417,0.05,0
"2006Q4","LIBERTY BANK",111728107,10377238,4021139,1.38,2.49
"2006Q4","CAUCASUSDEVELOPMENT BANK - GEORGIA",24291100,88499,29942,0,0.21
"2006Q4","BANK REPUBLIC",350320851.76,8602859,6880670.07,19.32,9.74
"2006Q4","SILK ROAD BANK",63100710.8,986864.7,1335694.01,1.36,2.2
"2006Q4","CARTU BANK",306342845,4180022,12864934,2.47,12.18
"2006Q4","CAPITAL BANK",25289730,1347839,771748,1.01,0.74
"2006Q4","PROCREDIT BANK",433095032.94,15325337.27,7460616.23,18.52,16.17
"2006Q4","KOR STANDARD BANK",99532412.49,2162603,697495.45,2.23,3.08
"2006Q4","TBC BANK",952310392.35,17751942.51,26151843.24,41.58,30.76
"2007Q1","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",11939064,33337,-99981,0,0
"2007Q1","ZIRAAT BANKASI A.S. TBILISI BRANCH",13533088,126506,141099,0.03,0
"2007Q1","PRIVATBANK",26309692.66,374081,-74163,0.24,0.52
"2007Q1","TBC BANK",949294753.4,5488634,4897182.88,27.65,23.24
"2007Q1","BANK REPUBLIC",375742088.48,3209316,295216.58,17.83,7.05
"2007Q1","LIBERTY BANK",157846633,3828055,-690691,1.23,1.82
"2007Q1","BASISBANK",81038912.94,614290,1060370,1.66,1.72
"2007Q1","VTB BANK-GEORGIA",488136907.01,3185091,2346934.79,7.02,13.38
"2007Q1","CAUCASUSDEVELOPMENT BANK - GEORGIA",16405629,37265,717074,0,0.14
"2007Q1","PROCREDIT BANK",432888796.98,4740922.66,3454757.96,14.19,10.42
"2007Q1","CAPITAL BANK",30103136,343261,348407,0.36,0.47
"2007Q1","BANK OF GEORGIA",1547880884.98,10659418,6786488,24.96,27.79
"2007Q1","KOR STANDARD BANK",116624021.56,788632,936763.98,2.77,2.65
"2007Q1","CARTU BANK",317800178,1243942,2738664,1.48,9.13
"2007Q1","SILK ROAD BANK",71491230.4,460661.05,693163.36,0.57,1.69
"2007Q2","TBC BANK",1280110751.17,12289671,9370865,28.82,25.14
"2007Q2","BANK OF GEORGIA",1802746743.66,25538768,21242492,29.81,31.02
"2007Q2","PRIVATBANK",40913574.6,1011596,-608590,0.67,0.69
"2007Q2","SILK ROAD BANK",128576297.65,1109476.72,825373.49,1.91,2.44
"2007Q2","CARTU BANK",353242417,2870136,5478005,1.11,8.41
"2007Q2","ZIRAAT BANKASI A.S. TBILISI BRANCH",18907463,268937,320022,0.02,0.01
"2007Q2","CAPITAL BANK",32459304,732516,623827,0.46,0.43
"2007Q2","VTB BANK-GEORGIA",496312457.07,6714086,4292095,6.34,11.59
"2007Q2","CAUCASUSDEVELOPMENT BANK - GEORGIA",14840314,90998,712804,0,0.13
"2007Q2","PROCREDIT BANK",449763883.75,9755305.48,5172039.38,11.99,9.41
"2007Q2","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",19407105,117173,-242569,0,0.03
"2007Q2","BANK REPUBLIC",475083563.81,6251515,4365809.46,14.16,5.97
"2007Q2","BASISBANK",89089239.06,1319200,2074628.25,1.66,1.57
"2007Q2","KOR STANDARD BANK",148534758.35,1931689,1887423.37,3.06,3.15
"2007Q3","BANK OF GEORGIA",2267467983,42733266,35126371,30.82,31.09
"2007Q3","PRIVATBANK",89842302.2,2038678,-1015495,0.67,1.22
"2007Q3","TBC BANK",1663377411.09,20044461,16925416,26.79,26.4
"2007Q3","SILK ROAD BANK",147838997.35,1839454.87,2261817.48,2.54,2.49
"2007Q3","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",19389924.05,224322,-638996.7,0,0.17
"2007Q3","ZIRAAT BANKASI A.S. TBILISI BRANCH",19559298,413881,650716,0.01,0.01
"2007Q3","KOR STANDARD BANK",174714505.04,3396858.87,2652308.91,4.11,2.4
"2007Q3","VTB BANK-GEORGIA",516288007.07,10002135,2914672,6.4,9.52
"2007Q3","BASISBANK",100335007,2056705,2605874,1.32,1.49
"2007Q3","CAPITAL BANK",34404496,1139596,828740,0.33,0.4
"2007Q3","CAUCASUSDEVELOPMENT BANK - GEORGIA",12897931,154714,56219,0,0.1
"2007Q3","BANK REPUBLIC",441915338.48,9988338.49,3971435.45,12.38,6.05
"2007Q3","CARTU BANK",386681714,4218128,10288059,0.93,7.87
"2007Q3","LIBERTY BANK",232348152.02,11675732,934249,2.27,2.26
"2007Q3","PROCREDIT BANK",498876308.39,15017266.06,7276916.16,11.43,8.51
"2007Q4","BANK OF GEORGIA",2534082264,55855715,45735475.21,32.39,33.65
"2007Q4","ZIRAAT BANKASI A.S. TBILISI BRANCH",19157119,533981,918350,0,0.02
"2007Q4","PROCREDIT BANK",552232266.67,20988304.71,10099654.7,10.71,8.49
"2007Q4","CAUCASUSDEVELOPMENT BANK - GEORGIA",13271412,214171,108479,0,0.09
"2007Q4","TBC BANK",1706446463.9,35170154,25366595,27.06,26.17
"2007Q4","SILK ROAD BANK",176848862.09,2859847.42,5038534.65,4.17,2.56
"2007Q4","BASISBANK",102979437.92,2983712,3501096.26,1.44,1.44
"2007Q4","BANK REPUBLIC",503653217.71,15720332.51,2498426.53,11.87,7.04
"2007Q4","PRIVATBANK",129703741,3892412,-1116822,1.73,1.75
"2007Q4","LIBERTY BANK",289607892,16425055,10639800,3.54,2.92
"2007Q4","CARTU BANK",393317912,5655843,15368580,0.98,7.81
"2007Q4","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",62203812,369174,-429370,0,0.2
"2007Q4","VTB BANK-GEORGIA",475354325.29,13465246,-24688791.05,5.84,7.58
"2007Q4","CAPITAL BANK",27352761,1819871,336367,0.27,0.29
"2008Q1","CAPITAL BANK",23301865,394336,109105,0.25,0.28
"2008Q1","PROGRESS BANK",12206897,25320,42813,0,0
"2008Q1","ZIRAAT BANKASI A.S. TBILISI BRANCH",19631456.98,125016,394312,0.01,0.02
"2008Q1","BANK REPUBLIC",598944058.98,4734542.01,-545967.68,11.83,7.54
"2008Q1","BASISBANK",96935980,676036,1151369,1.17,1.37
"2008Q1","HALYK BANK GEORGIA",15999275,166370,-15821,0,0
"2008Q1","CAUCASUSDEVELOPMENT BANK - GEORGIA",13801506,86013,17913,0,0.07
"2008Q1","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",47940200,136953,167827,0,0.31
"2008Q1","SILK ROAD BANK",158128843.55,928826,1933978.7,2.82,2.14
"2008Q1","CARTU BANK",428542804,2156797,5021906,1.06,7.1
"2008Q1","PROCREDIT BANK",561229745.66,6094615.1,4883577.18,10.29,8.11
"2008Q1","VTB BANK-GEORGIA",488328730.81,3696083,1819192,5.61,6.45
"2008Q1","LIBERTY BANK",355748639,6910960,-1257509,4.55,3.25
"2008Q1","KOR STANDARD BANK",157928155.26,2775369,-1598005.08,1.61,1.35
"2008Q1","BANK OF GEORGIA",2724690680.8,16817354,19911083,30.62,32.55
"2008Q1","TBC BANK",2064466844.79,13276696,15744069,29.01,27.37
"2008Q1","PRIVATBANK",207735134.28,2442748,888119,1.18,2.1
"2008Q2","PROGRESS BANK",12051068,255971,43241.2,0,0
"2008Q2","BASISBANK",104592550.88,1560092,1605686.01,1.22,1.24
"2008Q2","PRIVATBANK",269052819.84,5885702,-3114113,2.54,2.61
"2008Q2","CARTU BANK",442722052,3736261,10827803,0.9,6.29
"2008Q2","CAUCASUSDEVELOPMENT BANK - GEORGIA",13968018,161882,-68384,0,0.07
"2008Q2","CAPITAL BANK",23329897,819299,302446,0.25,0.25
"2008Q2","HALYK BANK GEORGIA",15919438,551493,-165332,0,0
"2008Q2","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",36467533,290833.04,759821.34,0,0.41
"2008Q2","LIBERTY BANK",361460361.87,13200320,1000408,4.8,3.03
"2008Q2","ZIRAAT BANKASI A.S. TBILISI BRANCH",23834075,248708,1081874,0.12,0.02
"2008Q2","PROCREDIT BANK",616406323.98,12528842.46,10709561.49,10.15,8.02
"2008Q2","SILK ROAD BANK",156384213.28,1997068.79,3851405.02,1.81,1.9
"2008Q2","VTB BANK-GEORGIA",433675361.4,8013060,-23984578,5.05,5.8
"2008Q2","KOR STANDARD BANK",234683605.8,3439038,-2332037.58,3.43,0.94
"2008Q2","TBC BANK",2202831435.31,28184135,32799115,26.65,27.42
"2008Q2","BANK REPUBLIC",667937967.89,10563171.51,3816517.82,9.88,8.33
"2008Q2","BANK OF GEORGIA",2925343061.76,36228739,46451631,33.19,33.7
"2008Q3","LIBERTY BANK",357093321.38,19670911,-1095982,5.45,2.59
"2008Q3","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",38026364,550667.53,1011883.22,0,0.4
"2008Q3","BANK CONSTANTA",63535682.54,5052948.78,-2535186.34,0.03,1.01
"2008Q3","BASISBANK",108729411,3095209,1502723.44,1.37,1.27
"2008Q3","CAUCASUSDEVELOPMENT BANK - GEORGIA",13990501,243167,-364226,0,0.07
"2008Q3","VTB BANK-GEORGIA",411345953.64,12688923,-27374022,4.6,5.95
"2008Q3","PROGRESS BANK",13037095,808033,-384353,0,0
"2008Q3","HALYK BANK GEORGIA",31065153,1183164,-129576,0,0
"2008Q3","SILK ROAD BANK",140428063.94,3645269.22,1965437.57,0.56,1.79
"2008Q3","BANK OF GEORGIA",2706451815.67,53609081,-4876360,30.29,32.73
"2008Q3","ZIRAAT BANKASI A.S. TBILISI BRANCH",25067754,375946,1933712,0.04,0.03
"2008Q3","PRIVATBANK",274957519.6,10431650,-8073016.18,3.4,2.91
"2008Q3","BANK REPUBLIC",647586339.76,15645397.59,1656208.81,10.22,9.34
"2008Q3","TBC BANK",1953765000.85,33672717,3142812,27.55,25.52
"2008Q3","CARTU BANK",415217284,5437063,4129431,1.27,6.34
"2008Q3","CAPITAL BANK",24448351,1291217,332428,0.24,0.2
"2008Q3","PROCREDIT BANK",606344779.7,19539958.02,8355210.3,10.6,8.73
"2008Q3","KOR STANDARD BANK",250707439.67,6339219.21,-7049911.76,4.39,1.14
"2009Q1","PROCREDIT BANK",675407845.81,7664410.72,2427580.37,12.44,9.89
"2009Q1","SILK ROAD BANK",154550639.28,1424640.45,-3326591.18,1.84,2.02
"2009Q1","CAUCASUSDEVELOPMENT BANK - GEORGIA",13687052,69689,-258443,0,0.06
"2009Q1","CAPITAL BANK",25895149,484713,-5907113,0.07,0.13
"2009Q1","PROGRESS BANK",12601668.94,245734,-116608.82,0.01,0.12
"2009Q1","BANK CONSTANTA",59241498.36,1289590.96,450342.7,0.03,0.93
"2009Q1","TBC BANK",1780314471.28,10241673.62,783703.03,28.15,23.83
"2009Q1","KOR STANDARD BANK",254681584.36,3030670.18,-2210283.79,4.59,1.77
"2009Q1","HALYK BANK GEORGIA",31050292,775496,-500222,0.04,0
"2009Q1","PRIVATBANK",222788545,4015421,-4751908,2.75,2.16
"2009Q1","BANK OF GEORGIA",2826196244,15319001,1805813,29.8,33.42
"2009Q1","VTB BANK-GEORGIA",424045356.58,4576782,-3190553.05,4.29,6.12
"2009Q1","ZIRAAT BANKASI A.S. TBILISI BRANCH",21164924,168610,382631,0.03,0.03
"2009Q1","CARTU BANK",505667044,1484831,5464755,1.67,7.07
"2009Q1","BASISBANK",98482594,1402068,-4260463,1.37,1.2
"2009Q1","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",36308112,239830,426148,0,0.47
"2009Q1","BANK REPUBLIC",702225300.98,6101793.91,157013.13,12.92,10.78
"2009Q2","PROGRESS BANK",13021909.18,563267,-269325.94,0,0.1
"2009Q2","BASISBANK",103601859,2146942,-612803,1.56,1.23
"2009Q2","SILK ROAD BANK",144933319.56,2787000.16,-3720949.16,1.46,1.96
"2009Q2","PRIVATBANK",181228793.8,7161644,-19782723.88,2.5,1.87
"2009Q2","BANK CONSTANTA",60641571.98,2590273.92,587274.34,0.03,0.98
"2009Q2","TBC BANK",1670148167.43,21030847.21,1909421,28.33,22.71
"2009Q2","KOR STANDARD BANK",233126489.41,4738438.98,-1802245.57,4.28,2.22
"2009Q2","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",41631025,455623,-1089512,0.61,0.41
"2009Q2","PROCREDIT BANK",658693267.84,15114065.87,3614243.52,12.34,10.61
"2009Q2","BANK OF GEORGIA",2598237606,30643230,-9584119,28.56,32.7
"2009Q2","HALYK BANK GEORGIA",30510220,1494482,-1220301,0.04,0.01
"2009Q2","BANK REPUBLIC",756867433.16,12161759.42,-1962853.39,15.16,11.09
"2009Q2","VTB BANK-GEORGIA",374530032.43,8796084,-12403530,3.38,6.07
"2009Q2","CAPITAL BANK",8898657,969725,-6123156,0.01,0.13
"2009Q2","ZIRAAT BANKASI A.S. TBILISI BRANCH",22680675,335404,558520,0.03,0.03
"2009Q2","CARTU BANK",442331182,2972877,5394874,1.71,7.81
"2009Q2","CAUCASUSDEVELOPMENT BANK - GEORGIA",14199572,131556,39612,0,0.07
"2009Q3","PROGRESS BANK",12655791.21,849020,-485051.87,0,0.13
"2009Q3","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",34887727.38,662004,-598356.02,0.01,0.45
"2009Q3","BANK REPUBLIC",747412597.08,17315988.66,-1190328.92,13.07,11.01
"2009Q3","BANK OF GEORGIA",2647087060,45727939,-9858267,28.88,31.96
"2009Q3","CARTU BANK",471467292,4482519,7160344,2.62,8.2
"2009Q3","PROCREDIT BANK",686376309.76,22566813.37,6793487.01,12.29,10.99
"2009Q3","CAUCASUSDEVELOPMENT BANK - GEORGIA",14481879,192524,-84862,0,0.07
"2009Q3","ZIRAAT BANKASI A.S. TBILISI BRANCH",22939431,509283,770916,0.02,0.03
"2009Q3","VTB BANK-GEORGIA",371467775.53,12492049,-12551526,3.12,6.29
"2009Q3","HALYK BANK GEORGIA",29444472,1862844,-2114173,0.04,0.01
"2009Q3","BANK CONSTANTA",61192518.37,3956100.59,660332.84,0.01,1.1
"2009Q3","PRIVATBANK",151110827.88,10299455,-41331774,2.1,1.55
"2009Q3","BASISBANK",122813000,3241011,-2384569.27,1.82,1.2
"2009Q3","CAPITAL BANK",9609851,1422065,-6211826,0.02,0.13
"2009Q3","SILK ROAD BANK",142556568.39,4170091.99,-3562606.56,1.31,1.99
"2009Q3","TBC BANK",1730968720.81,31984952.17,2417052.54,30.3,22.43
"2009Q3","KOR STANDARD BANK",240386917.46,7037302,-3091081.44,4.39,2.46
"2010Q1","BANK OF GEORGIA",2908223176.23,17474386,25100036,31.03,33.34
"2010Q1","PROGRESS BANK",13227220.95,258977.39,-141994.86,0.01,0.17
"2010Q1","ZIRAAT BANKASI A.S. TBILISI BRANCH",22227391,166827,42331,0.04,0.02
"2010Q1","BANK CONSTANTA",71255730.69,1458310.35,240650.65,0,1.23
"2010Q1","VTB BANK-GEORGIA",414894012.49,3793101,1756744,3.03,5.8
"2010Q1","SILK ROAD BANK",102571846.86,1159013.36,-14307861.18,0.32,0.96
"2010Q1","CAPITAL BANK",19730817,324090,-59173,0.01,0.24
"2010Q1","PRIVATBANK",176398545.06,2917219,56126,2.76,1.65
"2010Q1","TBC BANK",1802834754.42,11303142.74,4357617.63,32.19,23.05
"2010Q1","BANK REPUBLIC",738417897.01,5509830.43,-8079718.46,11.06,9.6
"2010Q1","KOR STANDARD BANK",304234256.38,2324059.93,-1637426.5,3.9,3.34
"2010Q1","BASISBANK",117279193,1211460,931811,1.82,1.49
"2010Q1","HALYK BANK GEORGIA",27532723,506752,-735788,0.05,0
"2010Q1","PROCREDIT BANK",770686251.22,7238804.17,4257250.17,12.68,11.01
"2010Q1","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",34387786.48,262031.74,284647.98,0.01,0.37
"2010Q1","CARTU BANK",455909319,2085785,2095036,1.09,7.66
"2010Q1","CAUCASUSDEVELOPMENT BANK - GEORGIA",13914963,54071,281341,0,0.07
"2010Q2","SILK ROAD BANK",105486503.54,2208969.49,-10092253.27,0.34,0.84
"2010Q2","CARTU BANK",484717828,3786565,5891192,1.7,7.77
"2010Q2","KOR STANDARD BANK",315513203.03,4474797,-3425927.17,3.46,3.42
"2010Q2","PRIVATBANK",202362257.81,6198722,-1631968,3.4,1.7
"2010Q2","CAUCASUSDEVELOPMENT BANK - GEORGIA",14022073,114285,459750,0,0.07
"2010Q2","BANK REPUBLIC",751174985.68,12447022.75,-30079642.88,11.08,8.61
"2010Q2","TBC BANK",1972345929.41,22779812.76,20338645.19,32.79,24.54
"2010Q2","ZIRAAT BANKASI A.S. TBILISI BRANCH",22319904,342943,33132,0.02,0.02
"2010Q2","BANK OF GEORGIA",3232304054,34321474,54211496,31.33,34.65
"2010Q2","PROCREDIT BANK",804314369.9,15103541.08,6414905.76,12.6,11.02
"2010Q2","VTB BANK-GEORGIA",430210266.22,8476425,-12201506,3.19,5.35
"2010Q2","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",36890798.7,511234,124265.65,0.01,0.33
"2010Q2","PROGRESS BANK",13288169.53,522644,38860.4,0.01,0.18
"2010Q2","HALYK BANK GEORGIA",26963246,1008354,-1471584,0.06,0.02
"2010Q2","CAPITAL BANK",17073114,658914,442738,0.01,0.23
"2010Q2","BANK CONSTANTA",77302085.27,3066426.42,671325.67,0,1.27
"2010Q3","BANK REPUBLIC",935747168.28,18369333.6,-27380564.13,9.95,7.54
"2010Q3","BANK CONSTANTA",79745760.47,4917373.06,1230780.33,0,1.25
"2010Q3","TBC BANK",2042598132,35306854,29697498,32.14,24.92
"2010Q3","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",46535971.67,774054.43,86934.69,0.5,0.6
"2010Q3","BASISBANK",140390545.48,3761651.75,1895410.02,2.01,1.29
"2010Q3","KOR STANDARD BANK",297968369.99,6648898.67,-2704756.57,3.05,2.95
"2010Q3","VTB BANK-GEORGIA",353361030.7,12533067,-7734245,3.13,4.2
"2010Q3","ZIRAAT BANKASI A.S. TBILISI BRANCH",24457123,526775,157451,0.04,0.02
"2010Q3","CAUCASUSDEVELOPMENT BANK - GEORGIA",14071194,175705,450921,0,0.06
"2010Q3","PROCREDIT BANK",828460129.17,23033024.76,11195036.85,12.12,10.8
"2010Q3","HALYK BANK GEORGIA",31108358,1486867,-2142407,0.19,0.13
"2010Q3","BANK OF GEORGIA",3375929460,55303003,93339100,31.64,35.77
"2010Q3","CAPITAL BANK",15398529,1000820,416735,0.04,0.22
"2010Q3","PRIVATBANK",202313825.29,10361891,-5512051,3.04,1.72
"2010Q3","SILK ROAD BANK",100325601.77,3242151.58,-9520170.49,0.25,0.83
"2010Q3","PROGRESS BANK",13648484.02,786098,290792.89,0.01,0.16
"2010Q3","CARTU BANK",515549528,5500683,9501815,1.9,7.54
"2011Q1","ZIRAAT BANKASI A.S. TBILISI BRANCH",24923316,215655,235508,0.04,0.02
"2011Q1","CAUCASUSDEVELOPMENT BANK - GEORGIA",15500332,63064,2348678,0,0.02
"2011Q1","SILK ROAD BANK",107376458,1072228,708255,0.24,0.85
"2011Q1","THE INTERNATIONAL BANK OF AZERBAIJAN-GEORGIA",50708034.63,367049.18,-330212.53,0.41,0.6
"2011Q1","PROCREDIT BANK",802176692.3,7860394.39,2447346.19,10.55,9.66
